,Distribution_type,U,Sigma,U2,Sigma2,mixing_prob,limitk,per_red,Objective_function_value,Solution_locations,Running_time(sec)
197,Normal_bimodal,180,30,120,10,0.8,300,25.0,490.6239249829682,5 0|7 10|11 4,20.5263495
198,Normal_bimodal,180,30,120,10,0.8,300,40.0,490.6239249829682,5 0|7 10|11 4,21.6076167
199,Normal_bimodal,180,30,120,10,0.8,300,50.0,490.6239249829682,5 0|7 10|11 4,21.2297958
200,Normal_bimodal,180,20,300,60,0.2,300,5.0,1019.9422788134923,2 5|6 3|9 8,5.9549525
201,Normal_bimodal,180,20,300,60,0.2,300,15.0,991.401178070731,4 11|6 3|8 9,13.7966777
202,Normal_bimodal,180,20,300,60,0.2,300,25.0,991.401178070731,4 11|6 3|8 9,13.689716
203,Normal_bimodal,180,20,300,60,0.2,300,40.0,991.401178070731,4 11|6 3|8 9,13.5208039
204,Normal_bimodal,180,20,300,60,0.2,300,50.0,991.401178070731,4 11|6 3|8 9,13.5687183
205,Normal_bimodal,180,20,300,60,0.4,300,5.0,961.2510329751929,3 1|3 9|10 8,5.9353092
206,Normal_bimodal,180,20,300,60,0.4,300,15.0,920.2465971245097,6 9|6 1|11 8,19.4329382
207,Normal_bimodal,180,20,300,60,0.4,300,25.0,920.2465971245097,6 9|6 1|11 8,19.3343377
208,Normal_bimodal,180,20,300,60,0.4,300,40.0,920.2465971245097,6 9|6 1|11 8,19.6748449
209,Normal_bimodal,180,20,300,60,0.4,300,50.0,920.2465971245097,6 9|6 1|11 8,19.4109625
210,Normal_bimodal,180,20,300,60,0.5,300,5.0,909.5678476756933,3 3|3 7|8 6,5.6476444
211,Normal_bimodal,180,20,300,60,0.5,300,15.0,866.3183659834795,5 11|0 6|8 8,19.354477
212,Normal_bimodal,180,20,300,60,0.5,300,25.0,866.3183659834795,5 11|0 6|8 8,19.565527
213,Normal_bimodal,180,20,300,60,0.5,300,40.0,866.3183659834795,5 11|0 6|8 8,19.3629232
214,Normal_bimodal,180,20,300,60,0.5,300,50.0,866.3183659834795,5 11|0 6|8 8,19.1735736
215,Normal_bimodal,180,20,300,60,0.6,300,5.0,866.5159042734012,2 1|4 9|10 7,5.6704921
216,Normal_bimodal,180,20,300,60,0.6,300,15.0,824.7977362099815,8 8|10 0|0 6,19.5353401
217,Normal_bimodal,180,20,300,60,0.6,300,25.0,824.7977362099815,8 8|10 0|0 6,21.2760887
218,Normal_bimodal,180,20,300,60,0.6,300,40.0,824.7977362099815,8 8|10 0|0 6,22.4701321
219,Normal_bimodal,180,20,300,60,0.6,300,50.0,824.7977362099815,8 8|10 0|0 6,20.3366207
220,Normal_bimodal,180,20,300,60,0.8,300,5.0,740.7602983053016,2 2|3 9|10 6,5.8837478
221,Normal_bimodal,180,20,300,60,0.8,300,15.0,736.7287255992986,7 7|9 7|3 1,20.2188062
222,Normal_bimodal,180,20,300,60,0.8,300,25.0,736.7287255992986,7 7|9 7|3 1,19.9521493
223,Normal_bimodal,180,20,300,60,0.8,300,40.0,736.7287255992986,7 7|9 7|3 1,21.0211248
224,Normal_bimodal,180,20,300,60,0.8,300,50.0,736.7287255992986,7 7|9 7|3 1,20.0276965
225,Normal_bimodal,180,20,300,50,0.2,300,5.0,1019.7902996468256,2 5|6 3|9 8,5.7589722
226,Normal_bimodal,180,20,300,50,0.2,300,15.0,991.5761202003607,4 11|6 3|8 9,13.5178456
227,Normal_bimodal,180,20,300,50,0.2,300,25.0,991.5761202003607,4 11|6 3|8 9,13.6483635
228,Normal_bimodal,180,20,300,50,0.2,300,40.0,991.5761202003607,4 11|6 3|8 9,13.5490811
229,Normal_bimodal,180,20,300,50,0.2,300,50.0,991.5761202003607,4 11|6 3|8 9,13.3438318
230,Normal_bimodal,180,20,300,50,0.4,300,5.0,960.6368315863041,3 1|3 9|10 8,5.709633
231,Normal_bimodal,180,20,300,50,0.4,300,15.0,920.0241125566085,6 9|6 1|11 8,19.5277769
232,Normal_bimodal,180,20,300,50,0.4,300,25.0,920.0241125566085,6 9|6 1|11 8,19.7092167
233,Normal_bimodal,180,20,300,50,0.4,300,40.0,920.0241125566085,6 9|6 1|11 8,19.5890129
